variant_id,proxy_pnl,day_0_proxy_pnl,day_1_proxy_pnl,day_2_proxy_pnl,min_day_proxy_pnl,positive_days,trade_count,unit_count,mean_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p03_h100_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,86.18667977477438,18.577500386530218,27.553640787601047,40.05553860064312,18.577500386530218,3,383,383,0.6017881571233145,0.1,0.03,100,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p03_h100_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,86.00427390227136,18.577500386530218,27.553640787601047,39.87313272814011,18.577500386530218,3,384,384,0.6001185089420383,0.1,0.03,100,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p03_h100_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,86.00427390227136,18.577500386530218,27.553640787601047,39.87313272814011,18.577500386530218,3,384,384,0.6001185089420383,0.1,0.03,100,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h200_l0p1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,135.1776442433399,17.818127856530865,57.39706139798226,59.96245498882678,17.818127856530865,3,476,476,0.6092988919705813,0.1,0.008,200,0.1,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h200_l0p1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,135.1776442433399,17.818127856530865,57.39706139798226,59.96245498882678,17.818127856530865,3,476,476,0.6092988919705813,0.1,0.008,200,0.1,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h200_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,135.1776442433399,17.818127856530865,57.39706139798226,59.96245498882678,17.818127856530865,3,476,476,0.6092988919705813,0.1,0.008,200,1.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p008_h200_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,135.1776442433399,17.818127856530865,57.39706139798226,59.96245498882678,17.818127856530865,3,476,476,0.6092988919705813,0.1,0.008,200,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p015_h200_l1_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,134.2175644613911,17.68553004395789,58.83136728043651,57.700667136996714,17.68553004395789,3,477,477,0.6093352211434736,0.1,0.015,200,1.0,0.98,0.1,1.0,1,20,20,300,60
qpconv_a0p015_h200_l1_q0p98_s0p1_m1_clip1_pos40_dh20_hi300_hc60,134.2175644613911,17.68553004395789,58.83136728043651,57.700667136996714,17.68553004395789,3,477,477,0.6093352211434736,0.1,0.015,200,1.0,0.98,0.1,1.0,1,40,20,300,60
qpconv_a0p008_h200_l10_q0p98_s0p1_m1_clip1_pos20_dh20_hi300_hc60,132.4420888597748,17.35275502889243,55.97900615674503,59.11032767413734,17.35275502889243,3,467,467,0.6121373177255788,0.1,0.008,200,10.0,0.98,0.1,1.0,1,20,20,300,60
