feature,target,ic_mean,abs_ic_mean,ic_min,ic_max,same_sign_days,day_2_ic,day_3_ic,day_4_ic
ret_500,target_5,-0.005827009394471449,0.005827009394471449,-0.009629213264343307,-0.0032262219154246545,1,-0.0032262219154246545,-0.009629213264343307,-0.004625593003646384
vol_100,target_cross_sell_5,-0.0058255928691853046,0.0058255928691853046,-0.008658328947543988,-0.002508260407426428,1,-0.002508260407426428,-0.0063101892525855,-0.008658328947543988
z_50,target_cross_sell_5,0.005722452331856108,0.005722452331856108,0.0007449012032368959,0.013953804834769408,1,0.002468650957562018,0.0007449012032368959,0.013953804834769408
cat_resid_z_200,target_5,-0.005673448427626123,0.005673448427626123,-0.012006433159836205,-0.0024158427890118763,1,-0.0024158427890118763,-0.0025980693340302884,-0.012006433159836205
ret_100,target_3,-0.005602854799368673,0.005602854799368673,-0.011373060982244632,-0.0011639251046133498,1,-0.004271578311248036,-0.0011639251046133498,-0.011373060982244632
xcat_pebbles_ret_1,target_3,-0.005397778845775399,0.005397778845775399,-0.006296578193467507,-0.004794930669439882,1,-0.005101827674418806,-0.006296578193467507,-0.004794930669439882
xcat_robot_ret_5,target_3,-0.005373041901823031,0.005373041901823031,-0.014343766200479943,-0.0008489375373216408,1,-0.0009264219676675078,-0.0008489375373216408,-0.014343766200479943
z_500,target_5,-0.005348725116326424,0.005348725116326424,-0.009368508494366018,-0.0007592830882543482,1,-0.0007592830882543482,-0.005918383766358906,-0.009368508494366018
xcat_snack_ret_5,target_5,-0.00530207241457249,0.00530207241457249,-0.007514143166556845,-0.004183744343421291,1,-0.004183744343421291,-0.004208329733739335,-0.007514143166556845
z_200,target_3,-0.005299160285230412,0.005299160285230412,-0.012422359354834513,-0.00032132603308183136,1,-0.003153795467774889,-0.00032132603308183136,-0.012422359354834513
xcat_snack_ret_5,target_3,-0.005212516699657485,0.005212516699657485,-0.008871770895609138,-0.002597337761535988,1,-0.002597337761535988,-0.00416844144182733,-0.008871770895609138
xcat_robot_ret_1,target_1,-0.00500149433333973,0.00500149433333973,-0.01323245019145729,-0.0004384203018513278,1,-0.0013336125067105729,-0.0004384203018513278,-0.01323245019145729
xcat_uv_ret_1,target_1,-0.004942207147215932,0.004942207147215932,-0.006551449062421456,-0.003355857765644764,1,-0.006551449062421456,-0.0049193146135815755,-0.003355857765644764
z_500,target_3,-0.00488507558225041,0.00488507558225041,-0.008709955950858543,-0.0027377649476840226,1,-0.0027377649476840226,-0.003207505848208664,-0.008709955950858543
