signal,product,horizon,threshold,day,count,mean_edge,total_edge,hit_rate,t_stat
premium_rolling_z,VEV_5000,1,1.0,1,3381,-2.741052942916297,-9267.5,0.023070097604259095,-131.86240008348938
premium_rolling_z,VEV_5000,1,1.0,2,2562,-2.759562841530055,-7070.0,0.02849336455893833,-110.86220061847318
premium_rolling_z,VEV_5000,1,1.0,3,2462,-2.555442729488221,-6291.5,0.034930950446791224,-98.5717325350546
premium_rolling_z,VEV_5000,1,1.5,1,1488,-2.5698924731182795,-3824.0,0.04435483870967742,-72.68870290134127
premium_rolling_z,VEV_5000,1,1.5,2,1218,-2.5919540229885056,-3157.0,0.05829228243021346,-61.99941161109021
premium_rolling_z,VEV_5000,1,1.5,3,1178,-2.327249575551783,-2741.5,0.06876061120543293,-53.32265940026494
premium_rolling_z,VEV_5000,1,2.0,1,701,-2.391583452211127,-1676.5,0.07988587731811697,-40.182426387010985
premium_rolling_z,VEV_5000,1,2.0,2,710,-2.443661971830986,-1735.0,0.08591549295774648,-40.192944134128105
premium_rolling_z,VEV_5000,1,2.0,3,698,-2.127507163323782,-1485.0,0.10458452722063037,-34.011153964336046
premium_rolling_z,VEV_5000,1,2.5,1,374,-2.177807486631016,-814.5,0.11764705882352941,-24.769347630242496
premium_rolling_z,VEV_5000,1,2.5,2,433,-2.310623556581986,-1000.5,0.10392609699769054,-28.747287877457932
premium_rolling_z,VEV_5000,1,2.5,3,459,-2.003267973856209,-919.5,0.12854030501089325,-24.736379726943934
premium_rolling_z,VEV_5000,5,1.0,1,3379,-2.713820656999112,-9170.0,0.06954720331459012,-74.62011764330727
premium_rolling_z,VEV_5000,5,1.0,2,2562,-2.7734192037470726,-7105.5,0.07533177205308353,-63.56217540521199
premium_rolling_z,VEV_5000,5,1.0,3,2461,-2.5788297440065016,-6346.5,0.09589597724502234,-57.805185318814566
premium_rolling_z,VEV_5000,5,1.5,1,1488,-2.5356182795698925,-3773.0,0.09005376344086022,-45.3141008283629
premium_rolling_z,VEV_5000,5,1.5,2,1218,-2.6917077175697863,-3278.5,0.10016420361247948,-39.38674565214907
premium_rolling_z,VEV_5000,5,1.5,3,1178,-2.3009337860780983,-2710.5,0.1298811544991511,-33.8627156086193
premium_rolling_z,VEV_5000,5,2.0,1,701,-2.3637660485021397,-1657.0,0.10984308131241084,-27.634448356144013
premium_rolling_z,VEV_5000,5,2.0,2,710,-2.5507042253521126,-1811.0,0.12112676056338029,-27.27897779126759
premium_rolling_z,VEV_5000,5,2.0,3,698,-2.0916905444126073,-1460.0,0.17191977077363896,-22.296509226864938
premium_rolling_z,VEV_5000,5,2.5,1,374,-2.2098930481283423,-826.5,0.13101604278074866,-17.814283948816318
premium_rolling_z,VEV_5000,5,2.5,2,433,-2.4226327944572748,-1049.0,0.13856812933025403,-19.92749415343979
premium_rolling_z,VEV_5000,5,2.5,3,459,-1.9651416122004357,-902.0,0.18518518518518517,-16.67565832883509
premium_rolling_z,VEV_5000,10,1.0,1,3376,-2.6867594786729856,-9070.5,0.1365521327014218,-54.23442377911042
premium_rolling_z,VEV_5000,10,1.0,2,2562,-2.7339968774395005,-7004.5,0.15339578454332553,-45.91752446879297
premium_rolling_z,VEV_5000,10,1.0,3,2458,-2.618592351505289,-6436.5,0.15907241659886087,-43.375518507803775
premium_rolling_z,VEV_5000,10,1.5,1,1488,-2.5443548387096775,-3786.0,0.14583333333333334,-34.07926199677489
premium_rolling_z,VEV_5000,10,1.5,2,1218,-2.7298850574712645,-3325.0,0.15435139573070608,-30.766968774060494
premium_rolling_z,VEV_5000,10,1.5,3,1175,-2.305531914893617,-2709.0,0.1829787234042553,-26.028792542001263
premium_rolling_z,VEV_5000,10,2.0,1,701,-2.2938659058487874,-1608.0,0.16119828815977175,-21.16486193524513
premium_rolling_z,VEV_5000,10,2.0,2,710,-2.6154929577464787,-1857.0,0.1676056338028169,-22.472970547133038
premium_rolling_z,VEV_5000,10,2.0,3,698,-2.0873925501432664,-1457.0,0.2163323782234957,-17.3227838966488
premium_rolling_z,VEV_5000,10,2.5,1,374,-2.0441176470588234,-764.5,0.18983957219251338,-13.46179080848767
premium_rolling_z,VEV_5000,10,2.5,2,433,-2.516166281755196,-1089.5,0.18475750577367206,-16.36057692062729
premium_rolling_z,VEV_5000,10,2.5,3,459,-1.9411764705882353,-891.0,0.2374727668845316,-12.667077206501407
premium_rolling_z,VEV_5000,20,1.0,1,3374,-2.648043864848844,-8934.5,0.2166567871962063,-37.994839034461094
premium_rolling_z,VEV_5000,20,1.0,2,2561,-2.5882467786021084,-6628.5,0.23896915267473642,-31.892336508186148
premium_rolling_z,VEV_5000,20,1.0,3,2457,-2.849409849409849,-7001.0,0.23768823768823769,-33.170070752397
premium_rolling_z,VEV_5000,20,1.5,1,1488,-2.5094086021505375,-3734.0,0.2271505376344086,-24.68156902606539
premium_rolling_z,VEV_5000,20,1.5,2,1217,-2.7136400986031224,-3302.5,0.2407559572719803,-22.422044933554872
premium_rolling_z,VEV_5000,20,1.5,3,1175,-2.451063829787234,-2880.0,0.2570212765957447,-19.727149374552937
premium_rolling_z,VEV_5000,20,2.0,1,701,-2.2510699001426535,-1578.0,0.24251069900142652,-15.138955647459076
premium_rolling_z,VEV_5000,20,2.0,2,709,-2.444992947813822,-1733.5,0.2524682651622003,-15.30542011686387
premium_rolling_z,VEV_5000,20,2.0,3,698,-2.181948424068768,-1523.0,0.2808022922636103,-12.812062043093542
premium_rolling_z,VEV_5000,20,2.5,1,374,-1.8435828877005347,-689.5,0.27540106951871657,-8.78570833864743
premium_rolling_z,VEV_5000,20,2.5,2,432,-2.324074074074074,-1004.0,0.2708333333333333,-11.155638637588337
premium_rolling_z,VEV_5000,20,2.5,3,459,-2.02723311546841,-930.5,0.2962962962962963,-9.555246656469185
premium_rolling_z,VEV_5000,50,1.0,1,3363,-3.025869759143622,-10176.0,0.30597680642283676,-26.89450122073057
premium_rolling_z,VEV_5000,50,1.0,2,2543,-2.371018482107747,-6029.5,0.32088084939048367,-19.833019037317687
premium_rolling_z,VEV_5000,50,1.0,3,2452,-2.973898858075041,-7292.0,0.29771615008156604,-22.999055097818353
premium_rolling_z,VEV_5000,50,1.5,1,1485,-3.0188552188552187,-4483.0,0.2962962962962963,-19.11974949543105
premium_rolling_z,VEV_5000,50,1.5,2,1212,-2.7025577557755778,-3275.5,0.29042904290429045,-15.756306523997438
premium_rolling_z,VEV_5000,50,1.5,3,1170,-2.3414529914529916,-2739.5,0.3367521367521368,-12.594866411852871
premium_rolling_z,VEV_5000,50,2.0,1,699,-3.0107296137339055,-2104.5,0.3104434907010014,-12.740232586755692
premium_rolling_z,VEV_5000,50,2.0,2,705,-2.3631205673758866,-1666.0,0.3262411347517731,-10.185556928050156
premium_rolling_z,VEV_5000,50,2.0,3,693,-2.142857142857143,-1485.0,0.341991341991342,-8.634737163853433
premium_rolling_z,VEV_5000,50,2.5,1,372,-2.2943548387096775,-853.5,0.3629032258064516,-6.733067528488914
premium_rolling_z,VEV_5000,50,2.5,2,429,-2.128205128205128,-913.0,0.3543123543123543,-7.232128834697023
premium_rolling_z,VEV_5000,50,2.5,3,456,-2.1776315789473686,-993.0,0.31798245614035087,-7.361208876484803
premium_rolling_z,VEV_5000,100,1.0,1,3354,-3.422927847346452,-11480.5,0.3425760286225403,-22.341669152746352
premium_rolling_z,VEV_5000,100,1.0,2,2522,-2.7014274385408408,-6813.0,0.380253766851705,-15.995906170932262
premium_rolling_z,VEV_5000,100,1.0,3,2446,-2.9505314799672937,-7217.0,0.3454619787408013,-17.57402775968183
premium_rolling_z,VEV_5000,100,1.5,1,1476,-3.130081300813008,-4620.0,0.35704607046070463,-13.737311261134272
premium_rolling_z,VEV_5000,100,1.5,2,1207,-2.3500414250207124,-2836.5,0.3711681855840928,-10.355775740576357
premium_rolling_z,VEV_5000,100,1.5,3,1165,-2.341630901287554,-2728.0,0.3785407725321888,-9.232803512590179
premium_rolling_z,VEV_5000,100,2.0,1,696,-3.329022988505747,-2317.0,0.34626436781609193,-9.691229043332072
premium_rolling_z,VEV_5000,100,2.0,2,702,-2.0826210826210825,-1462.0,0.3789173789173789,-7.023496514908056
premium_rolling_z,VEV_5000,100,2.0,3,690,-1.9543478260869565,-1348.5,0.41304347826086957,-5.641191571171687
premium_rolling_z,VEV_5000,100,2.5,1,369,-2.234417344173442,-824.5,0.39295392953929537,-4.694820598258021
premium_rolling_z,VEV_5000,100,2.5,2,427,-1.5526932084309133,-663.0,0.3981264637002342,-4.192876549312255
premium_rolling_z,VEV_5000,100,2.5,3,455,-1.7505494505494505,-796.5,0.4197802197802198,-4.211955702096344
premium_rolling_z,VEV_5100,1,1.0,1,5209,-2.0654636206565558,-10759.0,0.010942599347283548,-159.30865506057535
premium_rolling_z,VEV_5100,1,1.0,2,4417,-2.0555807108897444,-9079.5,0.013357482454154404,-139.43624605513418
premium_rolling_z,VEV_5100,1,1.0,3,4539,-1.8711169861202908,-8493.0,0.016082837629433796,-130.02385548732778
premium_rolling_z,VEV_5100,1,1.5,1,2719,-2.0253769768297167,-5507.0,0.0158146377344612,-109.69823814164423
premium_rolling_z,VEV_5100,1,1.5,2,2249,-2.014006224988884,-4529.5,0.020453534904401955,-94.25550741222374
premium_rolling_z,VEV_5100,1,1.5,3,2432,-1.822779605263158,-4433.0,0.02138157894736842,-91.19218673865345
premium_rolling_z,VEV_5100,1,2.0,1,1019,-1.9563297350343474,-1993.5,0.02747791952894995,-61.11895226101936
premium_rolling_z,VEV_5100,1,2.0,2,965,-1.9471502590673575,-1879.0,0.03005181347150259,-56.109134357003306
premium_rolling_z,VEV_5100,1,2.0,3,972,-1.771604938271605,-1722.0,0.030864197530864196,-55.210541900644856
premium_rolling_z,VEV_5100,1,2.5,1,388,-1.9201030927835052,-745.0,0.03350515463917526,-35.77595131037592
premium_rolling_z,VEV_5100,1,2.5,2,365,-1.915068493150685,-699.0,0.038356164383561646,-32.56877924570288
premium_rolling_z,VEV_5100,1,2.5,3,356,-1.678370786516854,-597.5,0.05337078651685393,-28.61018542049184
premium_rolling_z,VEV_5100,5,1.0,1,5206,-2.0376488666922783,-10608.0,0.08547829427583557,-83.0799801921573
premium_rolling_z,VEV_5100,5,1.0,2,4413,-2.1057104010876952,-9292.5,0.10401087695445276,-73.6722173542311
premium_rolling_z,VEV_5100,5,1.0,3,4535,-1.8738699007717752,-8498.0,0.10628445424476296,-67.93010232022368
premium_rolling_z,VEV_5100,5,1.5,1,2717,-2.020426941479573,-5489.5,0.09017298490982702,-58.91014352866057
premium_rolling_z,VEV_5100,5,1.5,2,2248,-2.090747330960854,-4700.0,0.10186832740213524,-52.247748491875875
premium_rolling_z,VEV_5100,5,1.5,3,2431,-1.8107774578362814,-4402.0,0.1155902920608803,-47.32918544118941
