leader,follower,h,days,n,corr_mean,corr_min,corr_max,edge_mean,edge_min,edge_max,same_sign_corr,same_sign_edge,score
SNACKPACK_CHOCOLATE,SNACKPACK_CHOCOLATE,100,3,722,-0.03672046658139166,-0.16131981308879517,0.06341990354968358,-3.48831735306179,-13.175540595675235,5.392040149393091,False,False,1.156656605662712
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_ECLIPSE_CHARCOAL,20,3,730,-0.01784618752626685,-0.08435892259151062,0.030561505984778897,-3.653701255171844,-11.978838808250574,3.442735042735043,False,False,1.149648939130354
MICROCHIP_SQUARE,MICROCHIP_SQUARE,100,3,563,-0.004362481661368683,-0.0891078274082298,0.13514074042558988,-3.7769528223660274,-37.58236064143122,46.09410992119621,False,False,1.1461732916939142
TRANSLATOR_SPACE_GRAY,TRANSLATOR_SPACE_GRAY,10,3,731,-0.05800324676601463,-0.06375602841064608,-0.04817777892351937,-3.2211892553452146,-4.927578304048892,-0.873883374689826,True,True,1.1403665169016084
ROBOT_DISHES,ROBOT_DISHES,5,3,732,0.06326779167364031,-0.06670658713584637,0.21756478965526657,3.1209544656828023,-2.357320099255583,9.412414056531704,False,False,1.1260897147257618
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_ECLIPSE_CHARCOAL,100,3,722,0.03141838970349916,-0.025311917830058272,0.09032334235602227,3.405246221883912,-5.972338935574229,8.959803427419356,False,False,1.115829035675671
UV_VISOR_RED,UV_VISOR_RED,10,3,731,0.018329277512794378,0.011539828924801829,0.029432960032529817,3.5000317776412477,0.8320719602977668,6.374293353705118,True,True,1.1049973658307575
ROBOT_MOPPING,ROBOT_MOPPING,5,3,732,0.06611067081858947,0.031764206548454556,0.09450976974787648,2.999148324659,1.3546060292405226,3.8817617866004963,True,True,1.0980765098534684
PEBBLES_M,PEBBLES_M,2,3,644,0.0539304678842717,0.03828203444885283,0.06787059248424962,3.119818205741564,2.4027777777777777,3.7806446731234864,True,True,1.0977368653752844
ROBOT_VACUUMING,ROBOT_VACUUMING,50,3,727,0.024240543030670064,-0.008958917488824172,0.0651172770659888,3.398758231383667,1.11643535883971,6.000381970970206,False,True,1.0923490985071103
SLEEP_POD_NYLON,SLEEP_POD_NYLON,10,3,731,-0.059562170333464344,-0.1119535365937755,-0.03139201421985123,-3.016747993002031,-6.392183728061591,-0.5155086848635236,True,True,1.0837109089010022
UV_VISOR_RED,UV_VISOR_RED,2,3,733,0.07887848599551846,-0.030009510307482817,0.1528431232127347,2.8039739998546636,0.08429292275844225,5.007384615384615,False,True,1.0778276579429544
UV_VISOR_MAGENTA,UV_VISOR_MAGENTA,5,3,732,0.06330813373129136,0.0400936708113864,0.09368276590958903,2.837623133791444,1.8839330024813898,4.166004583651643,True,True,1.041211341331307
SLEEP_POD_NYLON,SLEEP_POD_NYLON,200,3,712,0.031080425961662564,-0.015516031619764272,0.06680263309253501,3.159806609613726,-5.682724252491695,11.645747950819672,False,False,1.0411832607691054
